r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order
0.0,0.0,0.02,0.0,17.318735122680664,0.0,-2.8194,6.447617,0.45435746394592824,0.8907915330229664,0.007052634345960607,t002,99.0
0.0,0.005,0.02,0.0,27.47820472717285,-0.132109,-2.95151,5.759958,0.6804625499119,0.7327543696485687,0.006461573208125045,s0005t002,100.0
0.0,0.01,0.02,0.0,39.07854461669922,-0.132109,-2.95151,5.759958,0.681162774733631,0.7320636998287201,0.010000685489833462,s001t002,101.0
0.015,0.0,0.02,0.0,19.15757942199707,0.0,-2.8194,6.252317,0.5689291625203821,0.8181615238159063,-0.08325460336276089,r0015t002,102.0
0.015,0.005,0.02,0.0,37.6454963684082,-0.132109,-2.95151,5.759958,0.6816714519153628,0.7316564997498706,0.0016727275237762333,r0015s0005t002,103.0
0.015,0.01,0.02,0.0,49.95256805419922,-0.132109,-2.95151,5.759958,0.6819635435925306,0.7313850106728158,0.0013005282940933478,r0015s001t002,104.0
0.03,0.0,0.02,0.0,30.52484130859375,0.0,-2.8194,6.447617,0.331498527837161,0.13994538453860494,0.93301876475671,r003t002,105.0
0.03,0.005,0.02,0.0,47.017738342285156,-0.132109,-2.95151,5.759958,0.6829688934186723,0.730441942505512,0.002838882042032434,r003s0005t002,106.0
0.03,0.01,0.02,0.0,59.3050422668457,-0.132109,-2.95151,5.759958,0.6827019133579588,0.7306953219414353,0.0015633266723244184,r003s001t002,107.0
0.0,0.0,0.0,0.015,5.259772300720215,0.0,-2.8194,6.447617,0.398268326164864,0.9172687404043277,-0.000631071228512367,l0015,108.0
0.0,0.005,0.0,0.015,6.89897346496582,-0.132109,-2.95151,5.759958,0.6845595262211126,0.728197612326658,0.03326398144660385,s0005l0015,109.0
0.0,0.01,0.0,0.015,11.058392524719238,-0.132109,-2.95151,5.759958,0.6910075666248947,0.7217383303780743,0.04002905607444911,s001l0015,110.0
